date,poids,natation_min,marche_min,course_min,renforcement_min,calories_depensees,mg_kg,cumul_kcal
2026-01-17,70.5,40,20,0,0,458.25,14.100000000000001,0.0
2026-01-18,70.5,0,40,0,0,164.49999999999997,14.078636363636365,164.50000000000085
